Description,ncRNA Name,Disease,PMID,Labels
We also discovered Linc00974F-1 stably expressed in the plasma.,Linc00974F-1,NA,25476897,0
Reintroduction of miR-101 may be a novel therapeutic strategy by down-regulating mTOR expression.,miR-101//mTOR,NA,25480586,0
"However, in the gefitinib-sensitive cell line (PC9), MALAT1 and HOTAIR were downregulated.",MALAT1//HOTAIR,NA,25482516,0
Bioinformatics prediction indicated that rs221636 was located at the binding site of hsa-miR-548p in the 3' UTR of Lin28B.,hsa-miR-548p//Lin28B,NA,25505270,0
Luciferase activity assay also showed a lower expression level for rs221636 T allele compared with A allele.,NA,NA,25505270,0
"PCGEM1 binds directly to target promoters,physically interacts with c-Myc,promotes chromatin recruitment of c-Myc,and enhances its transactivation activity.",NA,NA,25512540,0
We also identified a c-Myc binding domain on PCGEM1 that contributes to the PCGEM1-dependent c-Myc activation and target induction.,NA,NA,25512540,0
The results showed that the expression of FOXCUT and FOXC1 were positively correlated.,FOXCUT//FOXC1,NA,25516208,0
Loss of NBAT-1 increases cellular proliferation and invasion.,NBAT-1,nA,25517750,0
It controls these processes via epigenetic silencing of target genes.,NA,NA,25517750,0
NBAT-1 loss affects neuronal differentiation through activation of the neuronal-specific transcription factor NRSF/REST.,NBAT-1,NA,25517750,0
"One of these lncRNAs,termed HOXD-AS1,is encoded in HOXD cluster.",HOXD-AS1,NA,25522241,0
HOXD-AS1 is evolutionary conserved among hominids and has all bona fide features of a gene.,NA,NA,25522241,0
These results suggest that LTBP1 is a biological target of mdv1-miR-M4-5p.,LTBP1//miR-M4-5p,NA,25530421,0
Expression of miR-144 was negatively correlated with TLR2 expression in Kupffer cells.,miR-144//TLR2,NA,25535255,0
The miR-144 bound to 3'UTR of rat TLR2 mRNA.,miR-144//TLR2,NA,25535255,0
"Ouabain triggered miR-181 transcription, which promoted TNF-α mRNA degradation and induced immunoparalysis, and ouabain triggered the nuclear export of human antigen R (HuR), which stabilized TNF-α mRNA and suppressed immuno-paralysis.",miR-181//TNF-α,NA,25536034,0
"To verify whether miR-34b and miR-34c directly target the 3-UTR of a-syn mRNA, we utilized a plasmid construct expressing full-length a-syn 3-UTR downstream of the firefly luciferase reporter gene.",miR-34b//miR-34c//a-syn mRNA,NA,25541488,0
We also demonstrated that miR-181c suppresses TLR4 by directly binding its 3'UTR.,miR-181c//TLR4,NA,25545945,0
"the accumulation of lipids was significantly improved after treatment with miR-185, compared with control animals.",miR-185,NA,25549355,0
Regulation of apoptosis by long non-coding RNA HIF1A-AS1 in VSMCs: implications for TAA pathogenesis.,HIF1A-AS1,NA,25550800,0
Results showed that HIF1A-AS1 silencing lead to enhancing in cell proliferation and declining apoptosis.,HIF1A-AS1,NA,25550811,0
C-Terminal binding protein 1 antisense (CTBP1-AS) was a novel long noncoding RNA (lncRNA) to regulate AR activity.,CTBP1-AS,NA,25552498,0
"The most upregulated lncRNAs in H2 were RP11-672F9.1, RP5-1014O16.1, and RP11-501G6.1, while the most downregulated ones were lincRNA-TSPAN8, lincRNA-CALCA, C14orf132, NCRNA00173, and CR613944.",RP11-672F9.1//RP5-1014O16.1//RP11-501G6.1//incRNA-TSPAN8//lincRNA-CALCA//C14orf132//NCRNA00173//CR613944,NA,25556502,0
Luciferase assay and Western blot analysis revealed that Nrg1 is a direct target of miR-125a-3p.,miR-125a-3p,NA,25560389,0
"By overexpressing miR-147 or inhibiting endogenous miR-147, we demonstrated that SNP rs3088442 G→A recruited miR-147 to inhibit SLC22A3 expression.",miR-147//SLC22A3,NA,25561770,0
"Among the abnormally expressed miRNAs, miR-200a, miR-200b, miR-200c, miR-146a, miR-146b and miR-152 were up-regulated both in vitro and vivo.",miR-200a//miR-200b//miR-200c//miR-146a//miR-146b//miR-152,NA,25562163,0
"In particular, the lncRNA AT102202 and its potential targets mRNA-3-hydroxy-3-methylglutaryl coenzyme A reductase (HMGCR) were identified.",AT102202,NA,25563320,0
"Using a real-time polymerase chain reaction technique, we confirmed that EGCG down-regulated mRNA expression level of the HMGCR and up-regulated expression of AT102202.",HMGCR//AT102202,NA,25563320,0
"After AT102202 knockdown in HepG2, we observed that the level of HMGCR expression was significantly increased relative to the scrambled small interfering RNA control.",AT102202//HMGCR,NA,25563320,0
"CCAT1 silencing downregulated, whereas CCAT1 overexpression enhanced the expression of miRNA-218-5p target gene Bmi1 through competitively 'spongeing' miRNA-218-5p.",CCAT1//miRNA-218-5p//Bmi1,NA,25569100,0
"Comparative analysis of the respective miRNA profiles revealed that among 39 highly regulated miRNAs, a subset of miRNAs including miR-1280 and miR-1260 was concordantly regulated by PDGFRβ and c-MYC.",miR-1280//miR-1260,NA,25576913,0
Selected candidates exhibited a Z-score of at least +/- 2 in N370S/N370S cells and did not affect viability by more than one standard deviation.,NA,NA,25584808,0
lncRNA-MIAT regulates microvascular dysfunction by functioning as a competing endogenous RNA.,lncRNA-MIAT,NA,25587098,0
"RNA immunoprecipitation, and in vitro studies revealed that MIAT functioned as a competing endogenous RNA, and formed a feedback loop with vascular endothelial growth factor and miR-150-5p to regulate endothelial cell function.",MIAT//miR-150-5p,NA,25587098,0
The observation of upregulation of miR-9 after a high dose of E2 treatment indicated the cause of MALAT-1 reduction.,miR-9//MALAT-1,NA,25592968,0
Downregulation of MALAT-1 promoted the combination of SFPQ/PTBP2 complex.,MALAT-1,NA,25592968,0
"Furthermore, the abolishment of the effects on these physiological processes caused by ectopic expression of miR-9 ASOs suggested the necessity of miR-9 in MALAT-1 regulation.",miR-9//MALAT-1,NA,25592968,0
"This was confirmed by qRT-PCR in the validation cohort, with these lncRNAs also overexpressed.",lncRNAs,NA,25595289,0
"More importantly, expression levels of miR-197 are inversely correlated with PD-L1 expression (n = 177; P = 0.026) and are associated with worse overall survival (P = 0.015).",miR-197//PD-L1,NA,25598202,0
Mechanistic investigations showed that MALAT1 was transcriptionally activated by c-Fos and that it interacted with Ezh2.,MALAT1//c-Fos,NA,25600645,0
Changes in brain levels of miR-200c inversely correlated with reelin protein expression.,miR-200c,NA,25604249,0
Direct targeting of the Reln 3'untranslated region by miR-200c was verified with dual luciferase assay.,Reln//miR-200c,NA,25604249,0
miR-19a directly interacted with the 3'-untranslated region (3'-UTR) of the suppressor of cytokine signaling 1 (SOCS1) by dual-luciferase reporter assay.,miR-19a//SOCS1,NA,25605008,0
"Thus, by modulating SOCS1 expression, miR-19a regulated the expression of the signal transducer and activator of transcription 3 (STAT3).",SOCS1//miR-19a,NA,25605008,0
"RAB5A was previously reported to be involved in autophagy; therefore, the present study further focused on the role of miR-101 in the regulation of autophagy under H/R and found that the inhibition of miR-101 attenuated H/R-induced apoptosis, at least partially, via the induction of autophagy.",miR-101,NA,25607636,0
"Furthermore, miR-130b suppressed expression of epithelial-mesenchymal transition (EMT)-related genes, matrix metalloproteinase-9, phosphorylated mammalian target of rapamycin (mTOR), p-ERK1/2, p-AKT and p-signal transducer and activator of transcription (STAT)-3.",miR-130b,NA,25619461,0
"Mechanistically,the complementary base pairing between HULC and the 5'untranslated region of CLOCK mRNA underlay the HULC-modulated expression of CLOCK,and the mutants in the complementary region failed to achieve the event.",HULC//CLOCK,NA,25622901,0
"Rps6kb1 is the target genes of miRNA-223-3p, the pathway analysis showed that Rps6kb1 could regulate angiogenesis via HIF-1α signal pathway.",Rps6kb1//miRNA-223-3p,NA,25623948,0
"These effects could be perfectly mimicked by a small interfering RNA against DNMT3A and 3B, and partially compromised by DNMT3A/3B expression plasmids co-Cell transfection.",DNMT3A/3B,NA,25625292,0
"miR-19a and -19b were up-regulated in primary motor cortex and hippocampus, respectively.",miR-19a and -19b,NA,25627001,0
"MiR-148b downregulated expression of WNT1, β-catenin and C-myc, while upregulated E-cadherin expression.",MiR-148b//β-catenin//C-myc//E-cadherin,NA,25628040,0
"We found that miR-125a rs12976445 was significantly associated with survival in codominant, recessive, and dominant models.", miR-125a,NA,25629604,0
"Furthermore, the miR-27a oligonucleotide inhibitor induced CRL-1690 cell apoptosis.",miR-27a,NA,25629978,0
"Elevated miR-93 expression significantly stimulated in vitro cell proliferation, migration and invasion, and additionally inhibited apoptosis.",miR-93,NA,25634023,0
"As a result of this inhibition, the c-Met/PI3K/Akt pathway activity was enhanced.",NA,NA,25634023,0
"OCT4 expression can be modulated by miR-145 and the OCT4 pseudogene 5 (OCT4-pg5), which share similar binding sites in the OCT4 3'-untranslated region.",OCT4//miR-145,NA,25634212,0
"miR-181 is able to directly target LIF and downregulate LIF expression, thereby inhibiting embryo implantation.",miR-181//LIF,NA,25636448,0
It plays an important role in gastric carcinogenesis,NA,gastric carcinogenesis,25636450,0
Multivariate analysis revealed that MEG3 expression served as an independent predictor for overall survival.,MEG3,NA,25636452,0
"In this study, miR-34a/Sirtuin 1 (SIRT1)/p53 signaling was examined in cochlear hair cells during aging.",miR-34a,NA,25638533,0
"MiR-34a, p53 acetylation, and apoptosis increased in the cochlea of C57BL/6 mice with aging, whereas an age-related decrease in SIRT1 was observed.",MiR-34a,NA,25638533,0
"In the inner ear HEI-OC1 cell line, miR-34a overexpression inhibited SIRT1, leading to an increase in p53 acetylation and apoptosis.",miR-34a,NA,25638533,0
"We found that miR-210 was highly expressed in hypoxia, which inhibited proliferation by inducing cell cycle arrest in G1/G0 as well as apoptosis.",miR-210,NA,25639987,0
We further identified that miR-210 targeted fibroblast growth factor receptor-like 1 (FGFRL1).,miR-210,NA,25639987,0
Down regulation of FGFRL1 decreased cell proliferation by promoting proportion of cells in G1/G0 phase and decreasing in S and G2/M phases.,FGFRL1,NA,25639987,0
"Moreover, overexpression of FGFRL1 effectively released the miR-210-induced suppression of SCC10A cell proliferation.",FGFRL1//miR-210,NA,25639987,0
"Together, our findings reveal a new mechanism of adaptation to hypoxia that miR-210 inhibits the proliferation via inducing cell cycle arrest and apoptosis by the targeting of FGFRL1.",miR-210//FGFRL1,NA,25639987,0
"ATP11A was a direct target of miR-210, which was predicted to regulate the ABC-transporters pathway.",ATP11A//miR-210,NA,25640197,0
"The expression levels of ATP11A in the gallstone showed inverse correlation with miR-210 expression, and up-regulation of miR-210 could reduce ATP11A expression in HGBEC.",ATP11A//miR-210,NA,25640197,0
MEG3 and ST7OT1 are up-regulated in both cell lines under apoptosis induced using both agents.,MEG3//ST7OT1,NA,25645334,0
"The induction of GAS5 is only clearly detected during DOX-induced apoptosis, whereas the up-regulation of neat1 and MIR155HG is only found during RES-induced apoptosis in both cell lines.",GAS5//neat1//MIR155HG,NA,25645334,0
"However, TUG1, BC200 and MIR155HG are down regulated when necrosis is induced using a high dose of DOX in both cell lines.",TUG1//BC200//MIR155HG,NA,25645334,0
MEG3 and ST7OT1 are up-regulated in both cell lineunder apoptosis induced using both agents.,MEG3//ST7OT1,NA,25645334,0
"The induction of GAS5 is only clearly detected during DOX-induced apoptosis,whereas the up-regulation of neat1 and MIR155HG is only found during RES-induced apoptosis in both cell lines.",GAS5//neat1//MIR155HG,NA,25645334,0
"Using B cell-specific knockdown strategies, we confirmed the role of the miR-155 target Aicda (activation-induced cytidine deaminase) in this process and, in combination with a gain-of-function model, unveiled a previously unappreciated role for Socs1 in directly modulating p53 activity and the DNA damage response in B lymphocytes.",miR-155,NA,25646678,0
The high expression of CDKN2B-AS1 induced by B-elemene was confirmed by real-time RT-PCR.,CDKN2B-AS1,NA,25646744,0
"Moreover,we found that the expression of lincRNA-ROR was negatively correlated with stem cell factor KLF4 and the up- and down-regulation of lincRNA-ROR resulted in inverse modulation of KLF4 messenger RNA (mRNA) expression.",lincRNA-ROR//KLF4,NA,25651893,0
"Moreover, we identified that miR-126 directly targeted PIK3R2 and affected PI3K/Akt signaling axis.",miR-126//PIK3R2,NA,25653720,0
"Further, over-expression of miR-487b enhanced cell proliferation, migration,invasion and tube formation in human umbilical vein endothelial cells.",miR-487b,NA,25660232,0
"Using bioinformatic analysis, we found a putative binding site of miR-487b in the 3'untranslated regions of Thrombospondin 1 mRNA, an endogenous inhibitor of angiogenesis.",miR-487b//Thrombospondin 1 mRNA,NA,25660232,0
This direct binding was confirmed by luciferase assay.,NA,NA,25660232,0
we found significant upregulation of DANCR in the blood mononuclear cells (MNCs) from low-BMD patients with the qRT-PCR analysis.,DANCR,NA,25660720,0
"MYC-regulated lncRNAs,named MYCLos.",MYCLos,NA,25663692,0
"The MYC-regulated MYCLos may function in cell proliferation and cell cycle by regulating MYC target genes such as CDKN1A (p21) and CDKN2B (p15),suggesting new regulatory mechanisms of MYC-repressed target genes through lncRNAs.",MYC,NA,25663692,0
Forced overexpression of miR-210 led to P4HB downregulation and a reduction in TMZ-resistance.,miR-210,NA,25663939,0
Overexpression of miR-346 led to attenuating CD4(+)CXCR5(+) T cells.,miR-346,NA,25667451,0
Migration of TYUC-1 was significantly inhibited by down-regulation of miR-625.,miR-625,NA,25667498,0
Patients with high PVT1 expression level had shorter overall survival times compared to those with low PVT1 expression level (P<0.05).,PVT1,NA,25668599,0
"MiR-125b inhibited KLC2 3'-untranslated region luciferase activity and protein expression, and inversely correlated with KLC2 expression in clinical samples.",MiR-125b//KLC2,NA,25670628,0
Kinesin-1 light chain-2 almost completely reversed miR-125b-induced inhibition on migration and invasion.,miR-125b,NA,25670628,0
Functional assay revealed a reduced rate of proliferation and an enhanced rate of apoptosis following Cell transfection of CC cells with miR-181 mimics.,NA,NA,25672418,0
"The rs531564GC genotype acted as a protective factor to decrease the risk of T2DM in younger subjects (age < 45 years), while the presence of the rs895819CC genotype increased the risk of illness among overweight subjects (24 ≤ BMI < 28 kg/m 2 ).",NA,NA,25674210,0
our data suggest that miR-138 promotes tau phosphorylation by targeting the RARA/GSK-3β pathway.,miR-138,NA,25680531,0
"In line with a function for this lncRNA in regulating cell survival, BALR-2 knockdown led to reduced proliferation, increased apoptosis, and increased sensitivity to prednisolone treatment.",lncRNA//BALR-2,NA,25681502,0
"Conversely, overexpression of BALR-2 led to increased cell growth and resistance to prednisone treatment.",BALR-2,NA,25681502,0
"Interestingly, BALR-2 expression was repressed by prednisolone treatment and its knockdown led to upregulation of the glucocorticoid response pathway in both human and mouse B-cells",BALR-2,NA,25681502,0
"Importantly,high expression of BALR-2 correlated with poor overall survival and diminished response to prednisone treatment.",BALR-2,NA,25681502,0
These data suggest that miRNA family miR-130 plays an important role in the repression of CDKN1A by hypoxia.,miR-130//CDKN1A,NA,25682558,0
"Computational analysis revealed that these lncRNAs are involved in RNA-protein networks related to splicing, binding, transport, localization, and processing of RNA.",NA,NA,25685243,0
"After identifying a down-regulation of the miR-30 family (miR-30a-5p, -30b, -30c, -30d and -30e) when compared to C57Bl/6 (WT) mice, we found that overexpression of miR-30 family miRNAs promotes differentiation, while inhibition restricts differentiation of myoblasts in vitro.","miR-30a-5p, -30b, -30c, -30d and -30e",NA,25691473,0
"Expression inhibition of lncRNA ASLNC04080 in HEC-1-B cells caused repression of cell proliferation,increased cell apoptosis,and G1 phase arrest.",ASLNC04080,NA,25695231,0
Rates of apoptosis were increased and cell invasion ability was decreased in EC9706 and EC-1 cells transfected with a miR-1207-5p mimic.,miR-1207-5p,NA,25695884,0
"A potential target of miR-145 is cyclin-dependent kinase 6 (CDK6), an important regulator of cell proliferation.",miR-145//CDK6,NA,25704079,0
The mRNA and protein levels of CDK6 were both downregulated in the resistant sublines.,CDK6,NA,25704079,0
miR-708 overexpression represses endogenous IKKβ.,miR-708,NA,25704921,0
Phosphorylation of the IKKβ target IκBα and expression of known NF-κB target genes were impaired by miR-708.,miR-708//NF-κB,NA,25704921,0
miR-27a promoted ERK phosphorylation by downregulating the expression of ERK inhibitor sprouty2 in monocytes.,miR-27a//ERK,NA,25719241,0
"Thus, we identified that sprouty2 is a target of miR-27a in human monocytes.",miR-27a,NA,25719241,0
Its levels were reduced by the early viral accessory protein Nef and increased by the late protein Vpu.,NA,NA,25728138,0
TINCR overexpression is induced by nuclear transcription factor SP1.,TINCR,NA,25728677,0
"Re-expression of miR-320a was sufficient to sensitize TamR cells to tamoxifen by targeting cAMP-regulated phosphoprotein (ARPP-19) and estrogen-related receptor gamma (ERRγ) as well as their downstream effectors, c-Myc and Cyclin D1.",miR-320a//c-Myc//Cyclin D1,NA,25736690,0
"Furthermore, progesterone (P4) promoted the expression of miR-320a by repressing c-Myc expression, while estrogen (E2) exerted the opposite effect.",miR-320a//c-Myc,NA,25736690,0
"From microRNA microarray analyses and microRNA target predictive databases, miR-100 was selected as a candidate regulator of NPR3 expression.",miR-100//NPR3,NA,25738314,0
Further analyses confirmed up-regulation of miR-100 in hypoxic cells and associated conditioned media.,miR-100,NA,25738314,0
Correlation analysis revealed that piR-015551 expression was positively correlated with expression levels of LNC00964-3.,piR-015551//LNC00964-3,NA,25740697,0
"Our findings also revealed that piR-015551 expression is positively correlated with expression levels of LNC00964-3, suggesting that piR-015551 may be generated from LNC00964-3",piR-015551//LNC00964-3,NA,25740697,0
Early life stress enhanced the susceptibility to late life stress and resistance to escitalopram treatment through decreasing microRNA-9 expression and subsequently upregulating dopamine receptor D2 expression in the nucleus accumbens.,microRNA-9//dopamine receptor D2,NA,25741595,0
microRNA-326 may be a novel target of escitalopram.,microRNA-326,NA,25741595,0
"RNA sequencing of two distinct androgen-dependent models shows PCGEM1 to be considerably expressed, while PRNCR1 showed scant basal expression.",PCGEM1//PRNCR1,NA,25744782,0
MicroRNA-214 overexpression downregulates beta catenin and its transcriptional activity (TCF mediated) in STHdhQ7/Q7 and STHdhQ111/Q111 cell.,MicroRNA-214//beta catenin,NA,25747711,0
miR-27a/miR-27a* directly repressed CBFA2T3 expression among other target genes.,miR-27a//miR-27a*//CBFA2T3,NA,25749524,0
Four out of the five lincRNAs showed statistically significant up- or down-regulation in response to HER2 depletion by RT-qPCR similar to what we observed by RNA-seq analysis.,lincRNAs//HER2,NA,25749757,0
"We observed that MEG3 knockdown significantly reduced the expression of key osteogenic markers, including Runt-related transcription factor 2, osterix, and osteocalcin, while overexpression of MEG3 enhanced their expression.",MEG3,NA,25753650,0
"Additionally, MEG3 knockdown decreased BMP4 transcription.",MEG3//BMP4,NA,25753650,0
Here we showed that MEG3 was critical for SOX2 transcriptional repression of the BMP4.,MEG3//SOX2//BMP4,NA,25753650,0
"MEG3, which is located near the BMP4 gene, could dissociate the transcription factor SOX2 from the BMP4 promoter.",MEG3,NA,25753650,0
"A stable complex containing the MEG3, SOX2, and the SOX2 consensus site of BMP4 suggested that MEG3 activated transcriptional activity by directly influencing SOX2 activity.",MEG3//SOX2,NA,25753650,0
Clopidogrel reduces apoptosis and promotes proliferation of human vascular endothelial cells induced by palmitic acid via suppression of the long non-coding RNA HIF1A-AS1 in vitro.,HIF1A-AS1,nA,25761653,0
Quantitative analysis indicated that the percentage of apoptotic cells was significantly higher for siHOTAIR-transfected cells than for siNC-transfected cells.,siHOTAIR,NA,25762744,0
We next examined the effect of HOTAIR knockdown on the cell cycle.,HOTAIR,NA,25762744,0
The percentage of cells in G1 phase was reduced whereas that in S phase and G2/M phase increased.,NA,NA,25762744,0
"At the same time, cell growth was significantly suppressed relative to the negative control siNC group.",NA,NA,25762744,0
The expression of lncRNA AK022798 was significantly higher in all pcDNA3-Notch 1 plasmid treatment groups than in the pcDNA3 plasmid treatment group (P< 0.01).,AK022798,NA,25763542,0
Overexpression of lncRNA AK022798 promotes SGC7901/DDP and BGC823/DDP cells apoptosis.,AK022798,nA,25763542,0
"The expression of MRP1 and P-glycoprotein decreased significantly in SGC7901/DDP and BGC823/DDP cells,and their apoptosis as well as the expressions of caspase 3 and caspase 8.",MRP1//P-glycoprotein,NA,25763542,0
"Furthermore, we used siRNA to interfere with lncRNA AK022798 expression, and found that the expression of MRP1 and P-glycoprotein decreased significantly in SGC7901/DDP and BGC823/DDP cells, and their apoptosis as well as the expressions of caspase 3 and caspase 8 obviously increased.",MRP1//P-glycoprotein//caspase 3//caspase 8,NA,25763542,0
"Results shown that the expression levels of four lincRNAs: UCA1, BC015134, lincRNA-BBOX1-2 and CR594506 were concordant with microarray assay.",UCA1//BC015134//lincRNA-BBOX1-2//CR594506,NA,25769450,0
"Specifically, UCA1 and lincRNA-BBOX1-2 were upregulated whereas BC015134 and CR594506 were downregulated.",UCA1//lincRNA-BBOX1-2//BC015134//CR594506,NA,25769450,0
"By contrast, knockdown of miR-21 could significantly decrease cell proliferation, inhibit the invasion, migration, and increase the apoptosis.",miR-21,NA,25769721,0
In vivo evidence showed that the individuals with the rs2296616C allele had lower miR-107 expression compared with the homozygous T allele carriers.,miR-107,NA,25771986,0
miRs to specific sites in the 3' UTRs of Hif1a and Vegfa.,Hif1a//Vegfa,NA,25776481,0
"Furthermore, overexpression of these miRs decreased HIF1A and VEGFA expression in vitro.",HIF1A//VEGFA,NA,25776481,0
Our data indicate that this miR-17 family elicits a regulatory synergistic down-regulation of Hif1a and Vegfa expression in this biological model.,miR-17//Hif1a//Vegfa,NA,25776481,0
"However, no significant difference of recurrent time was found between the low and high miR-431 groups (v2 = 0.005, P = 0.943).",miR-431,NA,25776496,0
"Ectopic expression of miR-139-3p strongly inhibited proliferation of myeloid progenitors, whereas inhibition of miR-139-3p activity restored defective proliferation of Ercc1-deficient progenitors.",miR-139-3p,NA,25779425,0
"Conversely, the inhibition of miR-199a-3p functions aggravated the myeloid proliferation defect in the Ercc1-deficient model, whereas its enforced expression enhanced proliferation of progenitors.",miR-139-3p,NA,25779425,0
"Of particular significance, we show significantly decreased circulating miRNA-122 levels and a more modest decline in hepatic levels, following surgery.",miRNA-122,NA,25783038,0
"To validate the miR-target relationship, we co-transfected the wild-type target gene 3-UTR vector with miRNA mimics or Ncontrol in HEK293T cells.",miRNA,NA,25783478,0
The miRNA binding site completely eliminated the inhibition of luciferase activity of the miRNA mimics.,miRNA,NA,25783478,0
"AUP1, HRAS, and BCL2L2 exhibited significant decreases.",AUP1//HRAS//BCL2L2,NA,25783478,0
miR-191 directly binds to the 3'UTR of the C/EBPβ mRNA and mediates a decrease in the mRNA and protein expression of C/EBPβ.,miR-191//C/EBPβ,NA,25785017,0
"Our results suggest that miR-34a is an essential component of the anti-proliferative activities of I3C, artemisinin, and artesunate and demonstrate that both wild-type p53 dependent and independent pathways are responsible for miR-34a induction.",miR-34a,NA,25792468,0
The numbers of apoptotic cells were dramatically elevated when cells were treated with amiRNA UCA1-MALAT1.,UCA1-MALAT1,nA,25800227,0
"A decreased cell motility was observed after transfection of amiRNA UCA1-MALAT1.To silence protein-coding mRNA, each of the two different RNAi sequences of c-Myc (shRNA-MYC and shRNA-MYC#) was used to replace the mature-miR-30 encoding region of the pre-miR-30 scaffold.",UCA1//MALAT1//c-Myc//miR-30,NA,25800227,0
"All but the mildest inhibited miRNA, hsa-miR-21-5p, were validated by RT-qPCR.",hsa-miR-21-5p,NA,25804630,0
Our results indicate that miR-23 has limited roles in bone formation and maintenance in vivo in mice.,miR-23,NA,25804796,0
"RNA pull-down experiment revealed a direct bind of lncRNA-GAS5 to a Ca2+-dependent RNA-binding protein, Annexin A2.",GAS5,NA,25806802,0
Further experiments showed that silencing of Annexin A2 reduced the HSVSMCs proliferation and vice versa.,NA,NA,25806802,0
"In the context of lncRNA-GAS5 knockdown, silencing of Annexin A2 reduced the proliferation of HSVSMCs while overexpression of Annexin A2 increased the proliferation.",GAS5,NA,25806802,0
"Thus, the low expression of lncRNA-GAS5 may facilitate HSVSMCs proliferation and migration through Annexin A2 and thereby the pathogenesis of GSV varicosities.",GAS5,NA,25806802,0
The underlying mechanisms may involve in increased expression of self-renewal related factors Sox2.,Sox2,NA,25811929,0
Overexpression of specific CRNDE transcript promotes cell growth and migration in vitro while knockdown of CRNDE expression manifests a repressive function during these cellular processes.,CRNDE,NA,25813405,0
"microRNA-7, by down-regulating RelA, augments Glut3 expression, promotes glycolysis, and subsequently prevents MPP(+)-induced cell death.",microRNA-7//RelA//augments Glut3,NA,25815108,0
"Our result showed that, the level of NEAT1 was up-regulated when the knockdown of miR-449a; on the contrary, the expression of NEAT1 was down-regulated when miR-449a was the overexpression.",NEAT1//miR-449a,NA,25818739,0
"In addition,in vitro assay our results indicated that knockdown of SNHG1 inhibited cell proliferation.",SNHG1,NA,25818744,0
"NLK (Nemo-like kinase),a negative regulator of the β-catenin pathway,was negatively correlated with HOTAIR expression.",HOTAIR,NA,25823657,0
"The knockdown of HOTAIR using siRNAs with transfection reagent suppressed cell proliferation, reduced the invasion ability of the cells.",HOTAIR//siRNAs,NA,25824616,0
"In mice, miR-210 repressed ISCU1/2 and promoted PH.",miR-210,NA,25825983,0
MiR-4458 played its role via targeting 3'UTR of IKBKE.,MiR-4458//IKBKE,NA,25833191,0
"Mechanistically, lncTCF7 recruits the SWI/SNF complex to the promoter of TCF7 to regulate its expression, leading to activation of Wnt signaling.",TCF7,NA,25842979,0
Lnc-bc060912 suppressed cell apoptosis.,Lnc-bc060912,nA,25848691,0
"We then identified two targets of miR-503, CCND2 and CCND3.",miR-503//CCND2//CCND3,NA,25861727,0
"In addition,the binding of HNF1A-AS1 to DNMT1 may explain its regulation of E-cadherin.", E-cadherin,NA,25863539,0
We first found that the expression of PEG10 was upregulated in DLBCL tumorous tissues and that cell linecompared with the normal.,PEG10,NA,25864113,0
Patients with high expression of LINC00472 had significantly reduced risk of relapse and death compared to those with low expression.,LINC00472,NA,25865225,0
We profiled cardiac microRNA expression in two distinct models of exercise and found microRNA-222 (miR-222) was upregulated in both.,miR-222,NA,25865299,0
Increased expression of SRPK1 and anti-apoptosis proteins were found in SKOV3/pcDNA-UCA1 cells.,SRPK1,NA,25866223,0
RNA interference and lentivirus infection showed a positive correlation between the expressions of c-MYC and BCYRN1.,c-MYC//BCYRN1,NA,25866480,0
ChIP assay confirmed the binding of c-MYC to the promoter region of BCYRN1 gene.,NA,NA,25866480,0
We demonstrate that overexpression of miR-148a leads to reduced cell viability through an increase in apoptosis rather than an inhibition of proliferation.,miR-148a,NA,25866606,0
We additionally show that miR-148a exerts this effect partially by attenuating expression of DNA methyltransferase 1 (DNMT1).,miR-148a//DNMT1,NA,25866606,0
"HBV can modulate the expression of several cellular miRNAs, thus promoting a favorable environment for its replication and survival.",miRNAs,NA,25867276,0
We focused on the involvement of host cellular miRNAs that are directly and indirectly associated with HBV RNA or HBV associated transcription factors.,miRNAs//HBV,NA,25867276,0
"Taken together, the results indicate a distinct subgroup with poor prognosis and TMZ-chemoresistance.",NA,NA,25869098,0
These results suggest that regulation of TFAM by hsa-miR-155-5p impacts mitochondrial biogenesis in the diploid setting but not in the DS setting.,TFAM//hsa-miR-155-5p,NA,25869329,0
5-HT1BR was validated as a target for miRNA-96.,miRNA-96,NA,25872451,0
Cell transfection of precursor miRNA-96 into hPASMCs reduced 5-HT1BR expression and inhibited serotonin-induced proliferation.,miRNA-96//5-HT1BR,NA,25872451,0
"The other SNP, HULC rs7763881, also showed a suggestive association (AC vs. AA: OR 0.70, 95% CI 0.50-0.98, P = 0.037; adjusted OR 0.69, 95% CI 0.49-0.97, P = 0.031).",NA,NA,25874495,0
"The ten most upregulated and downregulated genes and microRNAs by p values, and their fold changes are shown in Table 1.",microRNAs,NA,25875827,0
Our findings also indicate that the role snoRNAs have in targeted gene silencing is a widespread phenomenon.,snoRNAs,NA,25880556,0
"Finally, among the potential therapeutic target ncRNAs, SNORA40 seems to be the most promising candidate.",ncRNAs,NA,25880556,0
"CCAT1 functions as a molecular sponge for let-7, antagonizes its functions, and leads to the de-repression of its endogenous targets HMGA2 and c-Myc.",CCAT1//let-7//HMGA2//c-Myc,NA,25884472,0
The results were confirmed by real-time PCR.,NA,NA,25884636,0
"By using cell cycle pathway-specific PCR arrays, we detected changes in a number of cell cycle-related genes related to lncRNA AK001796 knockdown.",AK001796,NA,25888808,0
